aom 3.15.0
applesimutils 0.9.12
apr 1.7.6
apr-util 1.6.5
argon2 20190702_1
aria2 1.37.0_2
autoconf 2.73
aws-c-auth 1.0.0
aws-c-cal 1.0.0
aws-c-common 1.0.1
aws-c-compression 1.0.0
aws-c-event-stream 1.0.0
aws-c-http 1.0.0
aws-c-io 1.0.0
aws-c-mqtt 1.0.0
aws-c-s3 1.1.3
aws-c-sdkutils 1.0.0
aws-checksums 1.0.0
awscli 2.36.50
bazelisk 1.29.0
boost 1.92.0
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-08-13
cairo 1.18.4
carthage 0.40.0
cmake 4.4.3
coreutils 9.12
curl 8.22.0
dav1d 1.5.4
double-conversion 3.4.0
edencommon 2026.09.21.00
fb303 2026.09.21.00
fbthrift 2026.09.21.00
ffmpeg 9.0.2
fizz 2026.09.21.00
flow 0.332.0
fmt 12.2.0
folly 2026.09.21.00
fontconfig 2.18.3
freetds 1.5.19
freetype 2.14.3
gd 2.3.3_6
gettext 1.0
gflags 2.3.1
gh 2.101.0
giflib 6.1.3
git 2.55.0
git-lfs 3.8.0
glib 2.90.0
glog 0.7.1
gmp 6.3.0
gnupg 2.5.22
gnutls 3.8.13_2
graphite2 1.3.15
groovy 6.0.0
harfbuzz 14.5.0
hub 2.14.2
icu4c@78 78.3
imagemagick 7.1.2-31
jemalloc 5.4.0
jenv 0.6.0
jpeg-turbo 3.2.0
jq 1.8.2
json-c 0.19
kotlin 2.4.20
krb5 1.22.2
lame 4.0
libassuan 3.0.2
libavif 1.4.2
libde265 1.1.3
libevent 2.1.13
libgcrypt 1.12.4
libgpg-error 1.61
libheif 1.23.5
libidn2 2.3.8
libksba 1.8.1
libnghttp2 1.70.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libpng 1.6.58
libpq 18.6
libpsl 0.23.3
libsodium 1.0.22
libssh2 1.11.1_5
libtasn1 4.21.0
libtiff 4.7.2
libtomcrypt 1.18.2_1
libtommath 1.3.0
libtool 2.6.2
libunistring 1.4.2
libusb 1.0.30
libvmaf 3.2.1
libvpx 1.17.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
libzip 1.11.4_1
licenseplist 3.28.2
little-cms2 2.19.1
lokalise2 3.1.7
lz4 1.10.0
lzo 2.10
m4 1.4.21
mercurial 7.2.4
mint 0.18.0
mpdecimal 4.0.1
mpg123 1.33.7
ncurses 6.6
net-snmp 5.9.5.2
nettle 4.0
npth 1.8
oniguruma 6.9.10
openconnect 9.21
openjdk 27
openldap 2.7.1
openssl@3 3.6.4
openssl@4 4.0.2
openvpn 2.7.7
opus 1.6.1
p11-kit 0.26.5
parallel 20260822
pcre2 10.48
php 8.5.10
pinentry 1.3.3
pipx 1.17.5
pixman 0.46.4
pkcs11-helper 1.31.0
pkgconf 3.0.7
python@3.14 3.14.7
rbenv 1.3.2
readline 8.3.6
ripgrep 15.2.0
ruby-build 20260917
s2n 1.7.10
screen 5.0.2
sdl2-compat 2.32.72
sdl3 3.4.16
snappy 1.3.1
sonar-scanner 8.1.0.6389
sqlite 3.53.4
stoken 0.93_2
svt-av1 4.2.0
swift-format 604.0.0
tcl-tk 9.0.4
telegraf 1.40.1
tidy-html5 5.8.0
tmux 3.7c
transcrypt 2.3.2
tree 2.3.2
unixodbc 2.3.14
utf8proc 2.11.3
wangle 2026.09.21.00
watchman 2026.09.21.00
webp 1.6.0
wget 1.25.0_2
x264 r3222
x265 4.3
xcbeautify 3.2.1
xcodegen 2.46.0
xcodes 2.1.0
xorgproto 2025.1
xxhash 0.8.4
xz 5.8.4
yq 4.53.6
zeromq 4.3.5_2
zlib 1.3.2
zstd 1.5.7_1
1password-cli 2.39.0
gcloud-cli 586.0.0
temurin@11 11.0.32.1,1
temurin@17 17.0.20.1,1
temurin@21 21.0.12.1,1
temurin@25 25.0.4.1,1
