Installed packages:
  Path                   | Version       | Description                      | Location              
  -------                | -------       | -------                          | -------               
  build-tools;37.0.0     | 37.0.0        | Android SDK Build-Tools 37       | build-tools/37.0.0    
  cmake;3.10.2.4988404   | 3.10.2        | CMake 3.10.2.4988404             | cmake/3.10.2.4988404  
  cmake;3.22.1           | 3.22.1        | CMake 3.22.1                     | cmake/3.22.1          
  emulator               | 37.1.11       | Android Emulator                 | emulator              
  ndk;27.1.12297006      | 27.1.12297006 | NDK (Side by side) 27.1.12297006 | ndk/27.1.12297006     
  ndk;27.3.13750724      | 27.3.13750724 | NDK (Side by side) 27.3.13750724 | ndk/27.3.13750724     
  platform-tools         | 37.0.1        | Android SDK Platform-Tools       | platform-tools        
  platforms;android-36   | 2             | Android SDK Platform 36          | platforms/android-36  
  platforms;android-37.0 | 2             | Android SDK Platform 37.0        | platforms/android-37.0
  platforms;android-37.1 | 1             | Android SDK Platform 37.1        | platforms/android-37.1

